prediction_num,city,weather,visibility,temperature,temperature_min,temperature_max,pressure,humidity,wind_speed,wind_degree
0,Paris,Clear,10000,296.54,296.54,298.21,1012,47,4.31,101
1,Paris,Clear,10000,298.12,298.12,299.32,1011,47,4.26,100
2,Paris,Clear,10000,296.7,296.7,296.7,1011,62,4.43,85
3,Paris,Rain,10000,292.07,292.07,292.07,1012,85,3.36,75
4,Paris,Rain,10000,289.64,289.64,289.64,1012,91,1.99,83
5,Paris,Clouds,10000,288.18,288.18,288.18,1011,89,2.14,85
6,Paris,Clouds,10000,289.69,289.69,289.69,1012,78,2.05,106
7,Paris,Clouds,10000,295.36,295.36,295.36,1013,61,2.13,166
8,Paris,Clouds,10000,297.16,297.16,297.16,1013,61,3.48,214
9,Paris,Rain,10000,297.49,297.49,297.49,1014,61,3.36,197
10,Paris,Rain,10000,296.08,296.08,296.08,1014,71,3.06,207
11,Paris,Rain,10000,292.54,292.54,292.54,1016,87,2.33,203
12,Paris,Rain,10000,290.97,290.97,290.97,1017,93,2.2,214
13,Paris,Rain,10000,289.73,289.73,289.73,1018,96,1.83,237
14,Paris,Rain,10000,291.1,291.1,291.1,1020,86,2.25,262
15,Paris,Clouds,10000,295.54,295.54,295.54,1021,57,2.54,264
16,Paris,Clouds,10000,298.53,298.53,298.53,1021,46,2.8,289
17,Paris,Clouds,10000,299.43,299.43,299.43,1020,45,2.39,331
18,Paris,Clouds,10000,297.41,297.41,297.41,1021,56,2.43,2
19,Paris,Clouds,10000,292.42,292.42,292.42,1023,81,2.92,24
20,Paris,Clouds,10000,290.05,290.05,290.05,1023,82,2.5,20
21,Paris,Clouds,10000,288.44,288.44,288.44,1023,82,2.05,26
22,Paris,Clouds,10000,289.62,289.62,289.62,1023,73,2.55,13
23,Paris,Clouds,10000,294.57,294.57,294.57,1023,63,2.61,48
24,Paris,Clouds,10000,298.66,298.66,298.66,1022,53,3.23,52
25,Paris,Rain,10000,298.89,298.89,298.89,1021,53,3.99,59
26,Paris,Rain,10000,293.8,293.8,293.8,1021,87,2.73,37
27,Paris,Rain,10000,292.6,292.6,292.6,1022,90,2.12,25
28,Paris,Clouds,10000,290.96,290.96,290.96,1021,95,3.44,22
29,Paris,Rain,10000,289.68,289.68,289.68,1020,97,2.84,24
30,Paris,Rain,10000,290.46,290.46,290.46,1019,94,3.98,30
31,Paris,Clouds,10000,296.66,296.66,296.66,1017,68,3.7,70
32,Paris,Rain,10000,299.22,299.22,299.22,1016,58,3.91,85
33,Paris,Rain,10000,296.5,296.5,296.5,1015,79,2.26,128
34,Paris,Rain,10000,293.94,293.94,293.94,1015,89,2.62,181
35,Paris,Rain,10000,291.19,291.19,291.19,1015,96,2.78,208
36,Paris,Rain,10000,290.47,290.47,290.47,1015,96,2.47,234
37,Paris,Rain,10000,289.98,289.98,289.98,1014,97,1.76,209
38,Paris,Rain,10000,290.05,290.05,290.05,1015,97,2.02,203
39,Paris,Rain,10000,290.32,290.32,290.32,1016,96,2.06,205
