prediction_num,city,weather,visibility,temperature,temperature_min,temperature_max,pressure,humidity,wind_speed,wind_degree
0,Suzhou,Clouds,10000,298.16,296.05,298.16,1007,78,7.31,131
1,Suzhou,Rain,10000,296.49,295.12,296.49,1008,82,7.74,129
2,Suzhou,Rain,10000,295.05,295.05,295.05,1007,87,7.0,125
3,Suzhou,Rain,10000,294.86,294.86,294.86,1007,90,6.56,123
4,Suzhou,Rain,10000,295.34,295.34,295.34,1007,91,5.58,125
5,Suzhou,Clouds,10000,297.51,297.51,297.51,1007,85,4.89,140
6,Suzhou,Clouds,10000,300.39,300.39,300.39,1004,75,3.1,138
7,Suzhou,Clouds,10000,300.94,300.94,300.94,1004,73,3.24,127
8,Suzhou,Clouds,10000,298.4,298.4,298.4,1004,86,3.14,120
9,Suzhou,Rain,10000,296.92,296.92,296.92,1005,93,2.06,123
10,Suzhou,Rain,10000,296.45,296.45,296.45,1003,95,0.99,160
11,Suzhou,Rain,10000,295.92,295.92,295.92,1003,97,0.68,307
12,Suzhou,Rain,10000,298.74,298.74,298.74,1004,82,3.14,356
13,Suzhou,Clouds,10000,300.97,300.97,300.97,1004,63,4.19,355
14,Suzhou,Clouds,10000,299.96,299.96,299.96,1003,63,1.82,326
15,Suzhou,Clouds,10000,298.53,298.53,298.53,1004,67,3.94,353
16,Suzhou,Clouds,10000,297.13,297.13,297.13,1006,72,1.1,16
17,Suzhou,Clouds,10000,296.52,296.52,296.52,1006,74,1.26,237
18,Suzhou,Clouds,10000,295.66,295.66,295.66,1005,80,1.14,359
19,Suzhou,Clouds,10000,295.01,295.01,295.01,1006,83,1.75,18
20,Suzhou,Clouds,10000,296.6,296.6,296.6,1006,76,0.64,114
21,Suzhou,Clouds,10000,299.52,299.52,299.52,1006,64,2.39,254
22,Suzhou,Clouds,10000,302.7,302.7,302.7,1004,42,2.48,272
23,Suzhou,Clouds,10000,302.63,302.63,302.63,1003,38,2.39,265
24,Suzhou,Clouds,10000,299.03,299.03,299.03,1005,52,0.68,359
25,Suzhou,Clouds,10000,296.84,296.84,296.84,1005,65,2.74,162
26,Suzhou,Clouds,10000,295.44,295.44,295.44,1004,77,2.81,189
27,Suzhou,Clouds,10000,294.46,294.46,294.46,1004,78,2.78,182
28,Suzhou,Clouds,10000,298.7,298.7,298.7,1004,57,3.46,196
29,Suzhou,Clouds,10000,303.21,303.21,303.21,1004,37,4.03,213
30,Suzhou,Clouds,10000,305.2,305.2,305.2,1002,29,3.63,225
31,Suzhou,Clouds,10000,304.81,304.81,304.81,1001,32,3.74,189
32,Suzhou,Clouds,10000,299.14,299.14,299.14,1002,54,4.34,158
33,Suzhou,Clouds,10000,297.33,297.33,297.33,1003,65,4.9,158
34,Suzhou,Clouds,10000,296.53,296.53,296.53,1002,68,3.55,166
35,Suzhou,Clouds,10000,295.43,295.43,295.43,1003,73,2.65,153
36,Suzhou,Clouds,10000,300.04,300.04,300.04,1004,57,3.29,172
37,Suzhou,Clear,10000,305.23,305.23,305.23,1004,37,4.3,183
38,Suzhou,Clear,10000,307.39,307.39,307.39,1002,27,4.55,177
39,Suzhou,Clear,10000,305.35,305.35,305.35,1003,30,5.04,159
