prediction_num,city,weather,visibility,temperature,temperature_min,temperature_max,pressure,humidity,wind_speed,wind_degree
0,Washington,Clouds,10000,290.9,288.9,290.9,1019,56,2.15,296
1,Washington,Clouds,10000,290.01,288.22,290.01,1019,60,1.77,295
2,Washington,Clouds,10000,293.29,293.29,294.48,1018,50,1.13,352
3,Washington,Clouds,10000,301.6,301.6,301.6,1015,29,1.69,89
4,Washington,Clear,10000,305.14,305.14,305.14,1012,24,2.9,99
5,Washington,Clear,10000,306.1,306.1,306.1,1010,23,3.37,104
6,Washington,Clear,10000,299.71,299.71,299.71,1010,42,0.7,65
7,Washington,Clear,10000,293.11,293.11,293.11,1011,55,2.43,283
8,Washington,Clear,10000,291.22,291.22,291.22,1011,60,2.1,293
9,Washington,Clear,10000,290.13,290.13,290.13,1011,54,2.06,294
10,Washington,Clear,10000,297.52,297.52,297.52,1011,35,1.42,350
11,Washington,Clear,10000,304.43,304.43,304.43,1009,20,1.7,77
12,Washington,Clear,10000,308.42,308.42,308.42,1006,15,1.62,117
13,Washington,Clear,10000,306.93,306.93,306.93,1005,17,3.64,340
14,Washington,Clear,10000,299.49,299.49,299.49,1006,35,2.71,325
15,Washington,Clear,10000,291.53,291.53,291.53,1009,58,3.01,285
16,Washington,Clear,10000,289.25,289.25,289.25,1009,67,2.79,286
17,Washington,Clear,10000,287.94,287.94,287.94,1009,66,2.65,289
18,Washington,Clear,10000,296.28,296.28,296.28,1009,37,2.24,318
19,Washington,Clear,10000,302.95,302.95,302.95,1007,18,2.58,354
20,Washington,Clear,10000,306.55,306.55,306.55,1006,16,1.8,329
21,Washington,Clear,10000,304.42,304.42,304.42,1004,20,3.48,340
22,Washington,Clear,10000,297.04,297.04,297.04,1006,42,2.91,327
23,Washington,Clouds,10000,289.6,289.6,289.6,1009,69,3.04,282
24,Washington,Clouds,10000,287.31,287.31,287.31,1009,79,2.68,282
25,Washington,Clouds,10000,285.73,285.73,285.73,1009,85,2.61,283
26,Washington,Clear,10000,292.89,292.89,292.89,1009,50,1.95,305
27,Washington,Clear,10000,299.76,299.76,299.76,1006,18,2.06,338
28,Washington,Clouds,10000,301.46,301.46,301.46,1005,10,2.67,277
29,Washington,Clouds,10000,298.06,298.06,298.06,1005,14,3.71,284
30,Washington,Clear,10000,291.07,291.07,291.07,1007,35,3.09,319
31,Washington,Clear,10000,283.66,283.66,283.66,1009,57,2.96,289
32,Washington,Clear,10000,281.23,281.23,281.23,1010,74,2.49,290
33,Washington,Clear,10000,279.99,279.99,279.99,1012,81,2.24,268
34,Washington,Rain,10000,284.37,284.37,284.37,1013,68,1.92,292
35,Washington,Rain,10000,288.96,288.96,288.96,1011,43,4.02,278
36,Washington,Clear,10000,291.35,291.35,291.35,1010,32,4.9,277
37,Washington,Clear,10000,290.1,290.1,290.1,1010,35,5.48,269
38,Washington,Clear,10000,286.05,286.05,286.05,1011,46,3.82,260
39,Washington,Clear,10000,278.54,278.54,278.54,1015,77,2.44,281
