age,workclass,education,sex,hours_per_week,native_country,income
90,,HS-grad,Female,40,United-States,<=50K
82,Private,HS-grad,Female,18,United-States,<=50K
66,,Some-college,Female,40,United-States,<=50K
54,Private,7th-8th,Female,40,United-States,<=50K
41,Private,Some-college,Female,40,United-States,<=50K
34,Private,HS-grad,Female,45,United-States,<=50K
38,Private,10th,Male,40,United-States,<=50K
74,State-gov,Doctorate,Female,20,United-States,>50K
68,Federal-gov,HS-grad,Female,40,United-States,<=50K
41,Private,Some-college,Male,60,,>50K
45,Private,Doctorate,Female,35,United-States,>50K
38,Self-emp-not-inc,Prof-school,Male,45,United-States,>50K
52,Private,Bachelors,Female,20,United-States,>50K
32,Private,Masters,Male,55,United-States,>50K
51,,Doctorate,Male,40,United-States,>50K
46,Private,Prof-school,Male,40,United-States,>50K
45,Private,11th,Male,76,United-States,>50K
57,Private,Masters,Male,50,United-States,>50K
22,Private,Assoc-acdm,Male,40,,>50K
34,Private,Bachelors,Male,50,United-States,>50K
37,Private,Bachelors,Male,40,United-States,>50K
29,Private,11th,Female,42,United-States,<=50K
61,Private,HS-grad,Female,25,United-States,<=50K
51,Private,Some-college,Male,40,United-States,<=50K
61,,HS-grad,Male,32,United-States,<=50K
21,Private,Assoc-voc,Male,40,United-States,<=50K
33,Private,1st-4th,Male,32,Mexico,<=50K
49,Private,5th-6th,Male,40,Greece,<=50K
37,Self-emp-inc,10th,Male,50,United-States,>50K
38,Private,10th,Male,90,United-States,>50K
23,Private,Some-college,Male,40,United-States,>50K
59,Self-emp-inc,10th,Female,50,United-States,>50K
52,Private,Prof-school,Male,60,United-States,>50K
51,Private,Bachelors,Male,50,United-States,>50K
60,Self-emp-not-inc,HS-grad,Male,50,United-States,>50K
63,Federal-gov,Doctorate,Female,60,United-States,>50K
53,Private,HS-grad,Male,48,United-States,>50K
51,Private,Prof-school,Female,50,United-States,>50K
37,Self-emp-not-inc,Doctorate,Female,60,United-States,>50K
54,Private,Masters,Female,40,United-States,>50K
44,Private,Bachelors,Male,50,United-States,>50K
43,Private,Masters,Female,40,United-States,>50K
51,Private,Some-college,Female,40,United-States,>50K
43,Private,Masters,Female,40,United-States,>50K
71,,HS-grad,Male,15,United-States,<=50K
48,Private,Bachelors,Female,70,United-States,>50K
71,Private,HS-grad,Male,52,United-States,<=50K
73,Self-emp-not-inc,HS-grad,Male,40,Vietnam,<=50K
68,,Some-college,Female,40,United-States,<=50K
67,,Some-college,Male,40,United-States,<=50K
40,Self-emp-not-inc,Prof-school,Male,45,United-States,>50K
50,Private,HS-grad,Female,72,United-States,>50K
51,State-gov,Assoc-voc,Male,39,United-States,>50K
42,Private,Some-college,Female,40,United-States,>50K
39,Private,Masters,Male,45,United-States,>50K
32,Private,Bachelors,Male,50,United-States,>50K
53,Private,Some-college,Male,45,United-States,>50K
40,Local-gov,Some-college,Male,40,United-States,>50K
38,Private,Bachelors,Female,45,United-States,>50K
33,Private,Assoc-voc,Male,42,United-States,>50K
43,Private,Assoc-acdm,Male,70,United-States,>50K
50,Self-emp-inc,11th,Male,40,United-States,>50K
44,Private,Some-college,Female,,United-States,>50K
51,Self-emp-not-inc,Bachelors,Male,40,China,>50K
41,Private,Prof-school,Male,40,United-States,>50K
60,Self-emp-inc,Assoc-voc,Male,70,,>50K
37,Private,Masters,Male,60,United-States,>50K
55,Self-emp-inc,Prof-school,Male,35,Greece,>50K
39,Self-emp-inc,Bachelors,Male,60,United-States,>50K
