index,date,FXUSDCAD
0,2017-01-03,1.3435
1,2017-01-04,1.3315
2,2017-01-05,1.3244
3,2017-01-06,1.3214
4,2017-01-09,1.324
5,2017-01-10,1.3213
6,2017-01-11,1.325
7,2017-01-12,1.3106
8,2017-01-13,1.3141
9,2017-01-16,1.3152
10,2017-01-17,1.3057
11,2017-01-18,1.3099
12,2017-01-19,1.3303
13,2017-01-20,1.3356
14,2017-01-23,1.3291
15,2017-01-24,1.3174
16,2017-01-25,1.3088
17,2017-01-26,1.3103
18,2017-01-27,1.3123
19,2017-01-30,1.3114
20,2017-01-31,1.303
21,2017-02-01,1.3074
22,2017-02-02,1.3016
23,2017-02-03,1.3016
24,2017-02-06,1.3099
25,2017-02-07,1.3167
26,2017-02-08,1.3157
27,2017-02-09,1.3127
28,2017-02-10,1.3084
29,2017-02-13,1.3082
30,2017-02-14,1.307
31,2017-02-15,1.3088
32,2017-02-16,1.3055
33,2017-02-17,1.3102
34,2017-02-21,1.3148
35,2017-02-22,1.3181
36,2017-02-23,1.311
37,2017-02-24,1.3095
38,2017-02-27,1.3118
39,2017-02-28,1.3249
40,2017-03-01,1.3338
41,2017-03-02,1.3387
42,2017-03-03,1.3405
43,2017-03-06,1.3404
44,2017-03-07,1.3417
45,2017-03-08,1.3475
46,2017-03-09,1.3513
47,2017-03-10,1.3464
48,2017-03-13,1.3447
49,2017-03-14,1.3484
50,2017-03-15,1.3428
51,2017-03-16,1.3319
52,2017-03-17,1.3337
53,2017-03-20,1.3358
54,2017-03-21,1.3317
55,2017-03-22,1.336
56,2017-03-23,1.3336
57,2017-03-24,1.3374
58,2017-03-27,1.3373
59,2017-03-28,1.3374
60,2017-03-29,1.3364
61,2017-03-30,1.3304
62,2017-03-31,1.331
63,2017-04-03,1.3384
64,2017-04-04,1.3425
65,2017-04-05,1.3409
66,2017-04-06,1.3418
67,2017-04-07,1.3395
68,2017-04-10,1.3349
69,2017-04-11,1.3332
70,2017-04-12,1.33
71,2017-04-13,1.3275
72,2017-04-17,1.3289
73,2017-04-18,1.3377
74,2017-04-19,1.346
75,2017-04-20,1.3482
76,2017-04-21,1.3506
77,2017-04-24,1.3492
78,2017-04-25,1.3592
79,2017-04-26,1.3593
80,2017-04-27,1.3624
81,2017-04-28,1.3662
82,2017-05-01,1.366
83,2017-05-02,1.372
84,2017-05-03,1.3714
85,2017-05-04,1.3743
86,2017-05-05,1.3712
87,2017-05-08,1.3705
88,2017-05-09,1.3728
89,2017-05-10,1.3672
90,2017-05-11,1.3707
91,2017-05-12,1.3714
92,2017-05-15,1.3641
93,2017-05-16,1.3596
94,2017-05-17,1.3614
95,2017-05-18,1.3611
96,2017-05-19,1.3544
97,2017-05-23,1.349
98,2017-05-24,1.346
99,2017-05-25,1.3453
100,2017-05-26,1.3456
101,2017-05-29,1.3446
102,2017-05-30,1.3469
103,2017-05-31,1.35
104,2017-06-01,1.35
105,2017-06-02,1.3504
106,2017-06-05,1.3483
107,2017-06-06,1.3461
108,2017-06-07,1.3492
109,2017-06-08,1.3503
110,2017-06-09,1.3453
111,2017-06-12,1.3415
112,2017-06-13,1.3238
113,2017-06-14,1.3209
114,2017-06-15,1.3283
115,2017-06-16,1.3232
116,2017-06-19,1.322
117,2017-06-20,1.3267
118,2017-06-21,1.331
119,2017-06-22,1.3241
120,2017-06-23,1.3268
121,2017-06-26,1.3238
122,2017-06-27,1.3188
123,2017-06-28,1.306
124,2017-06-29,1.3015
125,2017-06-30,1.2977
126,2017-07-04,1.2941
127,2017-07-05,1.2982
128,2017-07-06,1.2946
129,2017-07-07,1.2887
130,2017-07-10,1.2888
131,2017-07-11,1.292
132,2017-07-12,1.2794
133,2017-07-13,1.2743
134,2017-07-14,1.2672
135,2017-07-17,1.2669
136,2017-07-18,1.2628
137,2017-07-19,1.2595
138,2017-07-20,1.2585
139,2017-07-21,1.2549
140,2017-07-24,1.2512
141,2017-07-25,1.2507
142,2017-07-26,1.2505
143,2017-07-27,1.252
144,2017-07-28,1.2447
145,2017-07-31,1.2485
146,2017-08-01,1.2514
147,2017-08-02,1.256
148,2017-08-03,1.2578
149,2017-08-04,1.2638
150,2017-08-08,1.2672
151,2017-08-09,1.2705
152,2017-08-10,1.2711
153,2017-08-11,1.2685
154,2017-08-14,1.2705
155,2017-08-15,1.2755
156,2017-08-16,1.2699
157,2017-08-17,1.2647
158,2017-08-18,1.2586
159,2017-08-21,1.2575
160,2017-08-22,1.2552
161,2017-08-23,1.2564
162,2017-08-24,1.2529
163,2017-08-25,1.2492
164,2017-08-28,1.2482
165,2017-08-29,1.2515
166,2017-08-30,1.2605
167,2017-08-31,1.2536
168,2017-09-01,1.239
169,2017-09-05,1.2371
170,2017-09-06,1.2264
171,2017-09-07,1.2148
172,2017-09-08,1.2132
173,2017-09-11,1.2128
174,2017-09-12,1.2159
175,2017-09-13,1.2187
176,2017-09-14,1.2198
177,2017-09-15,1.2182
178,2017-09-18,1.2238
179,2017-09-19,1.2277
180,2017-09-20,1.2273
181,2017-09-21,1.2339
182,2017-09-22,1.2317
183,2017-09-25,1.2341
184,2017-09-26,1.237
185,2017-09-27,1.2412
186,2017-09-28,1.245
187,2017-09-29,1.248
188,2017-10-02,1.2505
189,2017-10-03,1.25
190,2017-10-04,1.2479
191,2017-10-05,1.2548
192,2017-10-06,1.2549
193,2017-10-10,1.2501
194,2017-10-11,1.2498
195,2017-10-12,1.2472
196,2017-10-13,1.2487
197,2017-10-16,1.2529
198,2017-10-17,1.2548
199,2017-10-18,1.2486
200,2017-10-19,1.2478
201,2017-10-20,1.2601
202,2017-10-23,1.2644
203,2017-10-24,1.2666
204,2017-10-25,1.2771
205,2017-10-26,1.2831
206,2017-10-27,1.2874
207,2017-10-30,1.2837
208,2017-10-31,1.2893
209,2017-11-01,1.2885
210,2017-11-02,1.2822
211,2017-11-03,1.2764
212,2017-11-06,1.2746
213,2017-11-07,1.2785
214,2017-11-08,1.2729
215,2017-11-09,1.2692
216,2017-11-10,1.2683
217,2017-11-14,1.2733
218,2017-11-15,1.2773
219,2017-11-16,1.2745
220,2017-11-17,1.2783
221,2017-11-20,1.2793
222,2017-11-21,1.2778
223,2017-11-22,1.2729
224,2017-11-23,1.2715
225,2017-11-24,1.2708
226,2017-11-27,1.2735
227,2017-11-28,1.2807
228,2017-11-29,1.2853
229,2017-11-30,1.2888
230,2017-12-01,1.2729
231,2017-12-04,1.2695
232,2017-12-05,1.268
233,2017-12-06,1.2757
234,2017-12-07,1.2843
235,2017-12-08,1.286
236,2017-12-11,1.2854
237,2017-12-12,1.2871
238,2017-12-13,1.2852
239,2017-12-14,1.2805
240,2017-12-15,1.2834
241,2017-12-18,1.2865
242,2017-12-19,1.2886
243,2017-12-20,1.2842
244,2017-12-21,1.2734
245,2017-12-22,1.2759
246,2017-12-27,1.2641
247,2017-12-28,1.2588
248,2017-12-29,1.2545
249,2018-01-02,1.2517
250,2018-01-03,1.2533
251,2018-01-04,1.2515
252,2018-01-05,1.2403
253,2018-01-08,1.2422
254,2018-01-09,1.2454
255,2018-01-10,1.2496
256,2018-01-11,1.2535
257,2018-01-12,1.2504
258,2018-01-15,1.2422
259,2018-01-16,1.2419
260,2018-01-17,1.2425
261,2018-01-18,1.2446
262,2018-01-19,1.2459
263,2018-01-22,1.2458
264,2018-01-23,1.2454
265,2018-01-24,1.2341
266,2018-01-25,1.2323
267,2018-01-26,1.2321
268,2018-01-29,1.2335
269,2018-01-30,1.2328
270,2018-01-31,1.2293
271,2018-02-01,1.2288
272,2018-02-02,1.238
273,2018-02-05,1.2483
274,2018-02-06,1.253
275,2018-02-07,1.2546
276,2018-02-08,1.2585
277,2018-02-09,1.2609
278,2018-02-12,1.2603
279,2018-02-13,1.26
280,2018-02-14,1.2562
281,2018-02-15,1.2507
282,2018-02-16,1.254
283,2018-02-20,1.2622
284,2018-02-21,1.2671
285,2018-02-22,1.2709
286,2018-02-23,1.2668
287,2018-02-26,1.2686
288,2018-02-27,1.274
289,2018-02-28,1.2809
290,2018-03-01,1.2851
291,2018-03-02,1.2891
292,2018-03-05,1.2977
293,2018-03-06,1.2898
294,2018-03-07,1.2947
295,2018-03-08,1.2927
296,2018-03-09,1.284
297,2018-03-12,1.283
298,2018-03-13,1.2912
299,2018-03-14,1.2944
300,2018-03-15,1.3032
301,2018-03-16,1.3088
302,2018-03-19,1.3079
303,2018-03-20,1.3077
304,2018-03-21,1.2958
305,2018-03-22,1.2908
306,2018-03-23,1.2856
307,2018-03-26,1.2886
308,2018-03-27,1.2869
309,2018-03-28,1.2902
310,2018-03-29,1.2894
311,2018-04-02,1.2908
312,2018-04-03,1.2812
313,2018-04-04,1.2809
314,2018-04-05,1.2776
315,2018-04-06,1.2764
316,2018-04-09,1.2729
317,2018-04-10,1.2618
318,2018-04-11,1.2584
319,2018-04-12,1.2596
320,2018-04-13,1.2597
321,2018-04-16,1.2579
322,2018-04-17,1.2552
323,2018-04-18,1.2614
324,2018-04-19,1.2633
325,2018-04-20,1.2728
326,2018-04-23,1.2833
327,2018-04-24,1.2828
328,2018-04-25,1.2869
329,2018-04-26,1.2862
330,2018-04-27,1.2857
331,2018-04-30,1.2836
332,2018-05-01,1.2867
333,2018-05-02,1.2851
334,2018-05-03,1.2862
335,2018-05-04,1.2861
336,2018-05-07,1.2864
337,2018-05-08,1.2963
338,2018-05-09,1.2856
339,2018-05-10,1.2775
340,2018-05-11,1.2779
341,2018-05-14,1.2775
342,2018-05-15,1.2876
343,2018-05-16,1.2809
344,2018-05-17,1.2801
345,2018-05-18,1.288
346,2018-05-22,1.2786
347,2018-05-23,1.2876
348,2018-05-24,1.2891
349,2018-05-25,1.2974
350,2018-05-28,1.3001
351,2018-05-29,1.302
352,2018-05-30,1.2897
353,2018-05-31,1.2948
354,2018-06-01,1.2964
355,2018-06-04,1.2928
356,2018-06-05,1.2993
357,2018-06-06,1.2913
358,2018-06-07,1.2972
359,2018-06-08,1.2962
360,2018-06-11,1.2993
361,2018-06-12,1.3004
362,2018-06-13,1.2988
363,2018-06-14,1.3052
364,2018-06-15,1.3177
365,2018-06-18,1.3208
366,2018-06-19,1.3276
367,2018-06-20,1.3301
368,2018-06-21,1.331
369,2018-06-22,1.3308
370,2018-06-25,1.3303
371,2018-06-26,1.3306
372,2018-06-27,1.3307
373,2018-06-28,1.3267
374,2018-06-29,1.3168
375,2018-07-03,1.3154
376,2018-07-04,1.3143
377,2018-07-05,1.3129
378,2018-07-06,1.3105
379,2018-07-09,1.3097
380,2018-07-10,1.3125
381,2018-07-11,1.3151
382,2018-07-12,1.3166
383,2018-07-13,1.3171
384,2018-07-16,1.3137
385,2018-07-17,1.3187
386,2018-07-18,1.3204
387,2018-07-19,1.3255
388,2018-07-20,1.3142
389,2018-07-23,1.3156
390,2018-07-24,1.3157
391,2018-07-25,1.3088
392,2018-07-26,1.3065
393,2018-07-27,1.3062
394,2018-07-30,1.3021
395,2018-07-31,1.3017
396,2018-08-01,1.3002
397,2018-08-02,1.3014
398,2018-08-03,1.2983
399,2018-08-07,1.3023
400,2018-08-08,1.3052
401,2018-08-09,1.304
402,2018-08-10,1.3113
403,2018-08-13,1.3136
404,2018-08-14,1.3087
405,2018-08-15,1.3138
406,2018-08-16,1.3152
407,2018-08-17,1.3081
408,2018-08-20,1.3065
409,2018-08-21,1.3036
410,2018-08-22,1.3016
411,2018-08-23,1.3063
412,2018-08-24,1.3036
413,2018-08-27,1.2986
414,2018-08-28,1.2917
415,2018-08-29,1.2931
416,2018-08-30,1.298
417,2018-08-31,1.3055
418,2018-09-04,1.3182
419,2018-09-05,1.3185
420,2018-09-06,1.3188
421,2018-09-07,1.3164
422,2018-09-10,1.3163
423,2018-09-11,1.3141
424,2018-09-12,1.3014
425,2018-09-13,1.2997
426,2018-09-14,1.3033
427,2018-09-17,1.3019
